RX Date/Time,Multiple Plot/Road Speed,Multiple Plot/Accelerator Pedal,Multiple Plot/Engine Load,Multiple Plot/Oil Pressure,Multiple Plot/Boost Pressure,Multiple Plot/Oil Temperature,Multiple Plot/Fuel Rate,Multiple Plot/Fuel Economy,Multiple Plot/Engine Speed,Multiple Plot/Trip Distance
2025/04/03 09:58:59::109,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::129,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::148,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::195,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::293,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::320,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::339,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::365,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::398,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::481,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::498,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::529,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::578,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::600,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::704,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::706,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::785,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::883,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::906,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::979,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::997,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::097,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::117,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::139,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::185,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::284,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::311,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::329,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::353,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::389,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::393,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::499,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::504,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::548,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::589,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::609,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::689,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::718,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::778,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::802,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::898,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::917,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::986,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::021,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::112,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::148,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::185,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::221,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::298,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::314,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::337,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::355,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::393,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::422,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::500,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::500,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::536,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::576,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::597,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::696,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::716,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::786,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::802,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::881,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::902,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:01::981,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::003,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::095,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::118,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::138,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::162,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::202,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::301,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::330,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::364,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::377,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::400,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::496,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::518,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::537,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::596,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::599,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::679,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::697,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::777,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::799,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::888,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::903,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:02::983,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::017,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::095,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::136,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::149,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::175,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::192,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::299,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::303,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::336,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::353,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::383,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::423,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::480,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::503,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::542,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::544,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::588,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::603,0,0,0,0,0,36.94444444444444,0,0,0,-1
